,"Cash receipts by selected commodity, 1910-2021F
Nominal (current dollars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,1910,1911,1912,1913,1914,,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020F,2021F
,,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ",,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All commodities,,"5,780,000","5,584,000","6,008,000","6,238,000","6,036,000",,"6,392,000","7,746,000","10,736,000","13,467,000","14,538,000","12,600,000","8,058,000","8,575,000","9,545,000","10,222,462","10,997,627","10,565,353","10,757,964","11,074,455","11,305,718","9,055,000","6,382,000","4,750,429","5,333,000","6,357,000","7,086,196","8,372,318","8,860,167","7,685,986","7,878,610","8,343,443","11,156,656","15,316,418","19,339,512","19,789,987","21,663,000","24,802,000","29,620,000","30,227,000","27,816,906","28,461,015","32,857,700","32,527,960","31,001,355","29,832,162","29,490,453","30,401,612","29,714,250","33,455,907","33,647,298","34,012,148","35,163,481","36,468,521","37,477,136","37,325,734","39,364,894","43,435,086","42,817,365","44,183,457","48,179,167","50,508,794","52,748,097","61,105,694","86,886,069","92,390,659","88,865,328","95,355,208","96,234,850","112,360,224","131,529,228","139,736,457","141,615,829","142,561,766","136,770,378","142,783,951","143,983,821","135,360,854","141,796,981","151,259,540","160,493,386","169,344,223","168,033,247","171,470,205","178,300,604","181,427,380","188,202,600","199,431,778","207,789,752","196,457,220","187,814,689","192,097,825","200,026,456","194,588,257","215,971,148","237,853,261","240,897,821","240,623,888","288,545,936","314,309,497","291,633,099","321,196,453","365,857,566","401,390,238","404,085,722","423,970,804","377,432,066","358,481,924","370,427,294","371,424,695","369,321,157","370,376,736","390,784,379"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals and products,,"2,851,000","2,679,000","2,913,000","3,161,000","3,137,000",,"3,129,000","3,711,000","5,094,000","6,493,000","6,935,000","5,956,000","3,952,000","4,275,000","4,680,000","4,805,820","5,469,483","5,674,755","5,598,714","6,027,608","6,177,642","5,187,000","3,842,000","2,753,000","2,847,000","3,336,000","4,107,816","4,715,420","4,902,089","4,495,969","4,511,933","4,873,088","6,439,100","8,987,175","11,359,486","11,185,511","12,008,000","13,786,000","16,527,000","17,129,000","15,412,386","16,104,952","19,618,818","18,237,976","16,923,191","16,276,088","15,967,248","16,363,330","17,376,146","19,226,947","18,904,167","18,988,991","19,513,279","20,158,239","20,046,722","19,947,430","21,886,183","25,026,514","24,383,015","25,487,272","28,573,270","29,532,211","30,478,923","35,583,182","45,772,043","41,325,925","43,088,763","46,323,241","47,634,815","59,162,217","69,236,125","67,990,522","69,150,543","70,258,393","69,605,878","72,895,061","70,114,476","71,553,479","75,996,441","79,639,741","83,603,693","89,109,510","85,787,317","85,750,151","90,544,545","88,293,906","87,217,115","92,948,988","96,475,245","94,248,879","95,713,865","99,596,567","106,674,870","93,934,699","105,671,501","123,472,726","124,931,103","118,498,682","138,478,570","140,432,476","120,067,867","140,870,957","164,858,428","169,818,778","183,137,335","212,290,239","189,515,589","162,730,663","175,559,718","176,330,553","175,993,463","166,454,817","175,035,218"
Meat animals,,"1,626,000","1,500,000","1,641,000","1,855,000","1,814,000",,"1,768,000","2,208,000","3,109,000","4,091,000","4,045,000","3,079,000","1,841,000","2,204,000","2,229,000","2,363,443","2,777,584","2,883,331","2,770,633","2,995,344","3,015,982","2,480,284","1,742,254","1,158,039","1,227,819","1,467,326","1,896,656","2,269,497","2,350,352","2,190,019","2,272,304","2,397,571","3,246,303","4,791,848","5,865,433","5,704,813","5,900,000","7,041,000","9,295,000","9,354,000","8,325,075","9,280,943","11,359,894","10,060,986","8,678,097","8,868,047","8,255,130","8,321,169","9,336,078","11,046,970","10,952,097","10,574,228","11,009,249","11,662,568","11,458,825","11,136,640","12,877,904","14,932,375","14,660,726","15,373,702","17,657,295","18,444,848","19,420,312","23,906,975","30,254,799","25,159,282","25,822,403","27,174,374","27,893,080","37,454,759","44,553,625","41,232,593","39,748,208","40,917,288","39,073,636","40,750,146","38,704,432","39,080,780","44,477,969","46,701,062","46,372,262","51,131,683","50,132,104","47,748,126","50,968,724","46,662,024","44,865,002","44,154,225","49,685,904","43,406,188","45,659,875","53,011,551","53,331,808","48,117,886","56,460,036","62,274,567","64,813,168","63,688,094","65,060,482","64,421,936","58,360,826","69,144,199","83,953,111","88,182,234","91,555,897","107,566,114","98,805,765","82,729,079","87,974,760","87,919,394","88,254,232","83,091,360","90,198,500"
Cattle and calves,,"851,000","784,000","885,000","999,000","985,000",,"966,000","1,132,000","1,651,000","2,029,000","1,921,000","1,528,000","876,000","1,037,000","1,043,000","1,118,810","1,252,084","1,271,278","1,335,901","1,555,762","1,494,760","1,183,573","838,006","620,561","599,485","815,398","1,062,426","1,113,564","1,238,924","1,162,422","1,289,658","1,381,084","1,717,912","2,293,305","2,581,200","2,606,633","3,318,000","3,761,000","4,967,000","5,285,000","4,861,030","5,679,500","6,996,923","6,193,432","4,822,335","5,086,759","5,221,788","5,360,790","6,187,423","7,319,665","7,835,817","7,380,490","7,559,860","8,182,185","8,113,174","7,784,946","8,941,775","10,429,677","10,549,863","11,263,932","12,571,611","13,633,170","14,985,864","18,236,654","22,336,212","17,843,774","17,520,176","19,293,596","20,225,345","28,248,125","35,025,454","31,819,375","29,537,848","29,813,318","28,860,557","30,588,895","29,002,305","28,865,105","33,583,264","36,854,804","36,429,152","39,191,819","38,696,618","37,272,292","39,486,978","36,253,054","34,044,036","30,976,868","35,999,622","33,442,847","36,568,558","40,783,474","40,540,660","38,095,143","45,341,079","47,429,896","49,283,094","49,110,334","49,843,326","48,394,131","43,720,324","51,246,136","62,321,217","66,090,126","67,849,440","81,076,720","78,252,807","63,691,327","66,936,726","67,038,059","66,239,043","62,013,996","65,958,605"
Hogs,,"670,000","617,000","647,000","741,000","713,000",,"691,000","949,000","1,299,000","1,866,000","1,911,000","1,385,000","857,000","1,024,000","1,027,000","1,063,975","1,318,612","1,407,212","1,237,499","1,218,466","1,296,765","1,135,500","774,228","444,592","523,866","520,631","681,804","991,086","924,965","870,207","810,149","836,109","1,301,625","2,191,411","2,942,206","2,795,624","2,263,000","2,917,000","3,926,000","3,660,000","3,125,404","3,213,980","3,899,913","3,480,270","3,545,751","3,454,526","2,715,354","2,631,532","2,853,578","3,376,513","2,783,912","2,868,623","3,152,383","3,161,521","3,033,284","3,033,518","3,607,520","4,169,060","3,809,203","3,794,590","4,742,253","4,477,929","4,111,580","5,316,518","7,529,002","6,946,761","7,916,423","7,487,674","7,281,362","8,753,699","9,057,751","8,942,539","9,794,285","10,658,838","9,790,233","9,701,350","9,033,241","9,734,409","10,336,628","9,221,199","9,455,931","11,525,452","11,036,132","10,016,503","10,948,470","9,898,434","10,254,866","12,565,187","13,053,680","9,485,547","8,624,295","11,757,943","12,394,562","9,602,110","10,616,057","14,336,266","14,970,027","14,105,864","14,750,486","16,027,805","14,640,502","17,898,063","21,631,894","22,092,108","23,706,457","26,489,394","20,552,958","19,037,752","21,038,034","20,881,335","22,015,189","21,077,364","24,239,894"
